municipality,start_date,end_date,consecutive_days,avg_val
Mantova,2023-02-10,2023-02-25,16,78.9
Rezzato,2023-02-13,2023-02-24,12,99.1
Ponti sul Mincio,2023-02-14,2023-02-25,12,80.2
Brescia,2023-02-14,2023-02-25,12,80.1
Odolo,2023-02-14,2023-02-24,11,73.0
Meda,2023-12-11,2023-12-21,11,59.9
Darfo Boario Terme,2023-02-15,2023-02-24,10,68.6
Cremona,2023-02-10,2023-02-17,8,76.8
Soresina,2023-02-10,2023-02-17,8,76.4
Codogno,2023-02-10,2023-02-17,8,74.5
