municipality,start_date,end_date,consecutive_days,avg_val
Sondrio,2023-01-01,2023-02-25,56,29.4
Spinadesco,2023-11-07,2023-12-21,45,35.6
Darfo Boario Terme,2023-01-01,2023-02-05,36,33.9
Parona,2023-01-22,2023-02-26,36,33.0
Sondrio,2023-11-26,2023-12-31,36,27.8
Spinadesco,2023-01-01,2023-02-04,35,36.5
Parona,2023-12-04,2023-12-31,28,31.1
Treviglio,2023-01-11,2023-02-05,26,32.3
Brescia,2023-01-10,2023-02-04,26,28.5
Soresina,2023-01-11,2023-02-04,25,38.1
