municipality,start_date,end_date,consecutive_days,avg_val
Moggio,2023-06-06,2023-06-30,25,120.1
Moggio,2023-08-09,2023-08-26,18,132.1
Moggio,2023-09-28,2023-10-12,15,139.6
Erba,2023-06-15,2023-06-29,15,118.5
Moggio,2023-05-21,2023-06-04,15,117.4
Bergamo,2023-06-16,2023-06-29,14,117.5
Brescia,2023-06-16,2023-06-29,14,116.9
Voghera,2023-06-16,2023-06-29,14,116.2
Lecco,2023-06-16,2023-06-29,14,113.6
Brescia,2023-08-14,2023-08-26,13,118.7
