antecedent,consequent,support,confidence,lift
TRAFFIC_LOW,NO2_LOW + O3_HIGH + PM10_LOW,0.08262108262108261,0.24786324786324784,1.891304347826087
TRAFFIC_LOW,NO2_LOW + O3_HIGH,0.15669515669515668,0.47008547008547,1.8333333333333333
TRAFFIC_LOW,NO2_LOW + O3_HIGH + PM25_MID,0.07977207977207977,0.23931623931623933,1.8260869565217392
TRAFFIC_LOW,NO2_LOW + PM25_MID,0.08831908831908832,0.26495726495726496,1.8235294117647058
TRAFFIC_LOW,NO2_LOW + O3_HIGH + PM25_LOW,0.07407407407407407,0.2222222222222222,1.813953488372093
TRAFFIC_LOW,O3_HIGH + PM10_LOW + PM25_LOW,0.06837606837606838,0.20512820512820515,1.8
TRAFFIC_LOW,O3_HIGH + PM10_LOW,0.08547008547008547,0.2564102564102564,1.7999999999999998
TRAFFIC_LOW,NO2_LOW + PM10_LOW,0.11396011396011396,0.3418803418803419,1.791044776119403
TRAFFIC_LOW,NO2_LOW + PM10_LOW + PM25_LOW,0.09401709401709402,0.28205128205128205,1.7678571428571428
TRAFFIC_LOW,NO2_LOW,0.19373219373219372,0.5811965811965812,1.7435897435897438
TRAFFIC_LOW,O3_HIGH + PM25_LOW,0.07692307692307693,0.23076923076923078,1.7234042553191489
TRAFFIC_HIGH,NO2_MID + PM25_MID,0.06837606837606838,0.20512820512820515,1.7142857142857144
TRAFFIC_LOW,NO2_LOW + PM10_MID,0.06837606837606838,0.20512820512820515,1.7142857142857144
TRAFFIC_LOW,NO2_LOW + PM25_LOW,0.10256410256410256,0.3076923076923077,1.6615384615384616
TRAFFIC_LOW,O3_HIGH,0.17094017094017094,0.5128205128205128,1.5384615384615383
TRAFFIC_LOW,O3_HIGH + PM25_MID,0.08262108262108261,0.24786324786324784,1.4745762711864405
TRAFFIC_MID,NO2_HIGH + O3_LOW + PM25_HIGH,0.08831908831908832,0.26495726495726496,1.453125
TRAFFIC_MID,NO2_HIGH + O3_LOW,0.1111111111111111,0.3333333333333333,1.4444444444444442
TRAFFIC_MID,NO2_HIGH + O3_LOW + PM10_HIGH,0.08262108262108261,0.24786324786324784,1.4262295081967211
